geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,compliance,timestamp
l_bracket,vertical_tip,1,6.463845613103475,65.54458355113584,28.658706460695637,19.98940931357216,989.6928986115391,2025-11-26T00:25:49
l_bracket,vertical_tip,2,62.524584676679694,21.886726009882608,17.90840177193731,13.333345055036805,1350.812884439845,2025-11-26T00:25:49
l_bracket,vertical_tip,3,8.6673773953373,71.21577979464844,22.13516439059798,40.111846069665155,992.8874704635929,2025-11-26T00:25:49
l_bracket,vertical_tip,4,5.0,61.4555880001145,26.277666715228577,16.334427994503383,1015.118107373717,2025-11-26T00:25:49
l_bracket,vertical_tip,5,25.12823791573826,9.961516082592969,11.862416679952926,79.41747488117481,1044.5034073698223,2025-11-26T00:25:49
l_bracket,vertical_tip,6,25.149445970871696,9.351037417942692,78.61412847298696,17.235117834194025,1414.5191356094597,2025-11-26T00:25:49
l_bracket,vertical_tip,7,18.97126808111993,18.710325996968024,24.812951455198302,88.5979152906953,1076.3303871317887,2025-11-26T00:25:49
l_bracket,vertical_tip,8,11.99677351534844,13.992051319868581,14.409374585323498,22.663724164118506,1253.22905897951,2025-11-26T00:25:49
l_bracket,vertical_tip,9,64.9034157366511,5.0,32.2874705546774,9.176113885624837,1425.385696680432,2025-11-26T00:25:49
l_bracket,vertical_tip,10,5.481193455275757,23.853755976492863,55.26642740957959,17.23812934257224,1291.0877902043258,2025-11-26T00:25:49
l_bracket,vertical_tip,11,13.731759570958646,70.523627841985,76.49027124988092,11.913327475871371,1261.7619958950004,2025-11-26T00:25:49
l_bracket,vertical_tip,12,69.39423173891394,13.066705345027962,22.689580193496024,41.8880751509394,1228.755474726195,2025-11-26T00:25:49
l_bracket,vertical_tip,13,11.321093450884817,94.94692101498987,49.38374947993791,21.277957460716284,1276.9872625459477,2025-11-26T00:25:49
l_bracket,vertical_tip,14,5.0,35.77113291741774,9.399319414122264,71.00982332163363,1027.1795328600215,2025-11-26T00:25:49
l_bracket,vertical_tip,15,54.03560553793052,19.9893024030949,40.43338918794945,17.9215927114165,1410.6277054140107,2025-11-26T00:25:49
l_bracket,vertical_tip,16,9.09274277290466,5.0,15.382544626621431,8.745980602018111,1397.7796628124233,2025-11-26T00:25:49
l_bracket,vertical_tip,17,14.203210113708709,12.363528844137155,19.160599481888795,8.35210793054258,1331.6170935862942,2025-11-26T00:25:49
l_bracket,vertical_tip,18,15.807827584827006,57.766453123402094,16.39401100599171,61.0202750570094,1114.7949744726634,2025-11-26T00:25:49
l_bracket,vertical_tip,19,5.0,17.07834192103348,18.081401297704367,5.0,1347.3683863885685,2025-11-26T00:25:49
l_bracket,vertical_tip,20,5.0,95.0,22.234251243030023,21.543918839188773,1096.7078319690547,2025-11-26T00:25:49
l_bracket,vertical_tip,21,67.30787789941913,10.369983763283269,18.36627301354473,80.39224495093717,1283.2041925470749,2025-11-26T00:25:49
l_bracket,vertical_tip,22,48.02451787514421,9.94191219093375,77.11272649090131,24.31166212579331,1546.9364611167257,2025-11-26T00:25:49
l_bracket,vertical_tip,23,26.159295768748493,5.0,13.339032291156016,53.27832397697774,1067.8715959906096,2025-11-26T00:25:49
l_bracket,vertical_tip,24,21.495781849510486,34.45489117957228,8.42727965203489,6.084075447943704,1209.4081914081619,2025-11-26T00:25:49
l_bracket,vertical_tip,25,16.939398124089067,24.2481936974813,20.858344653801847,32.677509632402256,1145.593202741347,2025-11-26T00:25:49
l_bracket,vertical_tip,26,11.184711985104844,72.6979248369434,11.526521021459507,66.07104727464727,1145.8983670634796,2025-11-26T00:25:49
l_bracket,vertical_tip,27,42.69697435167872,24.694250736896244,21.819912075984554,55.822204580887025,1100.3075245526286,2025-11-26T00:25:49
l_bracket,vertical_tip,28,28.7051121302937,24.1068252050428,5.0,47.20388472310897,1075.9947557123426,2025-11-26T00:25:49
l_bracket,vertical_tip,29,83.11570861278203,13.008748611314308,44.41702239417671,5.0,1543.446235473226,2025-11-26T00:25:49
l_bracket,vertical_tip,30,5.0,75.29855325034973,35.90995426960488,13.194315321749455,1067.4444121985841,2025-11-26T00:25:49
