geometry,load_case,sample_id,s1_x,s1_y,s2_x,s2_y,s3_x,s3_y,compliance,timestamp
ribbed_channel,upward_tip,1,35.0,20.0,80.0,32.0,125.0,8.0,32.39200898277577,2025-11-26T00:26:54.0
ribbed_channel,upward_tip,2,35.0,8.0,80.0,20.0,125.0,20.0,32.31631645981213,2025-11-26T00:26:54.0
ribbed_channel,upward_tip,3,35.0,32.0,80.0,32.0,125.0,8.0,32.43807968067333,2025-11-26T00:26:54.0
ribbed_channel,upward_tip,4,35.0,20.0,80.0,32.0,125.0,20.0,32.23844522134118,2025-11-26T00:26:54.0
ribbed_channel,upward_tip,5,35.0,20.0,80.0,20.0,125.0,8.0,32.38093874958513,2025-11-26T00:26:54.0
ribbed_channel,upward_tip,6,35.0,20.0,80.0,32.0,125.0,32.0,32.21534799355072,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,7,35.0,8.0,80.0,32.0,125.0,32.0,32.24142906542447,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,8,35.0,8.0,80.0,8.0,125.0,8.0,32.23637546912023,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,9,35.0,32.0,80.0,20.0,125.0,8.0,32.37654706509884,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,10,35.0,32.0,80.0,8.0,125.0,8.0,32.22405894692671,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,11,35.0,32.0,80.0,32.0,125.0,32.0,32.23969221857907,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,12,35.0,32.0,80.0,20.0,125.0,8.0,32.37654706509884,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,13,35.0,20.0,80.0,32.0,125.0,32.0,32.21534799355072,2025-11-26T00:26:55.0
ribbed_channel,upward_tip,14,35.0,20.0,80.0,32.0,125.0,8.0,32.39200898277577,2025-11-26T00:26:56.0
ribbed_channel,upward_tip,15,35.0,8.0,80.0,20.0,125.0,32.0,32.35821465730666,2025-11-26T00:26:56.0
ribbed_channel,upward_tip,16,35.0,20.0,80.0,20.0,125.0,20.0,32.26552808557381,2025-11-26T00:26:56.0
